freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.493e+03,2.605e+02,3.396e+02,2.093e+03
1.5,1.505e+03,8.653e+02,1.161e+03,3.531e+03
3.1,9.253e+02,9.144e+02,1.159e+03,2.999e+03
4.6,1.189e+03,7.586e+02,1.022e+03,2.969e+03
6.2,2.021e+03,7.028e+02,9.835e+02,3.708e+03
7.7,2.991e+03,7.473e+02,1.008e+03,4.746e+03
9.3,3.749e+03,9.498e+02,1.109e+03,5.808e+03
10.8,5.016e+03,1.077e+03,1.225e+03,7.318e+03
12.3,6.729e+03,1.412e+03,1.520e+03,9.662e+03
13.9,7.980e+03,1.302e+03,1.519e+03,1.080e+04
15.4,9.353e+03,1.108e+03,1.301e+03,1.176e+04
17.0,1.047e+04,8.948e+02,1.041e+03,1.240e+04
18.5,1.135e+04,6.812e+02,8.114e+02,1.285e+04
20.1,1.239e+04,5.433e+02,6.573e+02,1.359e+04
21.6,1.464e+04,5.098e+02,5.618e+02,1.572e+04
23.1,1.732e+04,5.649e+02,5.523e+02,1.843e+04
24.7,2.031e+04,6.029e+02,5.686e+02,2.148e+04
26.2,2.445e+04,6.455e+02,5.917e+02,2.568e+04
27.8,2.894e+04,5.861e+02,5.733e+02,3.010e+04
29.3,3.400e+04,5.201e+02,5.155e+02,3.503e+04
30.9,3.926e+04,5.511e+02,6.008e+02,4.041e+04
32.4,4.536e+04,7.282e+02,6.578e+02,4.675e+04
34.0,5.263e+04,9.756e+02,7.483e+02,5.435e+04
35.5,6.078e+04,1.392e+03,1.048e+03,6.322e+04
37.0,7.163e+04,2.702e+03,1.694e+03,7.603e+04
38.6,8.419e+04,5.360e+03,2.634e+03,9.218e+04
40.1,9.753e+04,9.273e+03,4.412e+03,1.112e+05
41.7,1.092e+05,1.371e+04,6.205e+03,1.291e+05
43.2,1.137e+05,1.756e+04,8.433e+03,1.397e+05
44.8,1.121e+05,1.922e+04,9.901e+03,1.412e+05
46.3,1.275e+05,2.200e+04,1.121e+04,1.607e+05
47.8,1.570e+05,2.697e+04,1.472e+04,1.987e+05
49.4,1.819e+05,3.400e+04,1.941e+04,2.353e+05
50.9,2.167e+05,4.696e+04,2.535e+04,2.890e+05
52.5,2.733e+05,6.916e+04,3.394e+04,3.764e+05
