freq,psd_x,psd_y,psd_z,psd_xyz
0.0,4.146e+01,4.107e+01,1.237e+02,2.062e+02
1.5,1.725e+02,1.665e+02,2.591e+02,5.981e+02
3.0,2.311e+02,2.225e+02,2.873e+02,7.409e+02
4.5,2.875e+02,3.251e+02,6.754e+02,1.288e+03
6.0,4.357e+02,5.068e+02,1.694e+03,2.637e+03
7.5,4.588e+02,5.382e+02,2.523e+03,3.520e+03
9.0,4.908e+02,5.654e+02,3.358e+03,4.414e+03
10.5,6.159e+02,7.491e+02,4.552e+03,5.917e+03
12.0,7.208e+02,9.416e+02,5.746e+03,7.409e+03
13.5,9.152e+02,1.215e+03,7.063e+03,9.194e+03
15.0,1.169e+03,1.599e+03,9.265e+03,1.203e+04
16.5,1.358e+03,1.855e+03,1.149e+04,1.471e+04
17.9,1.387e+03,1.973e+03,1.338e+04,1.674e+04
19.4,1.309e+03,1.869e+03,1.570e+04,1.887e+04
20.9,1.304e+03,1.757e+03,1.849e+04,2.155e+04
22.4,1.298e+03,1.583e+03,2.097e+04,2.386e+04
23.9,1.412e+03,1.327e+03,2.366e+04,2.640e+04
25.4,1.405e+03,9.875e+02,2.581e+04,2.820e+04
26.9,1.275e+03,6.667e+02,2.573e+04,2.767e+04
28.4,1.653e+03,5.139e+02,2.636e+04,2.853e+04
29.9,2.184e+03,4.294e+02,2.750e+04,3.011e+04
31.4,2.498e+03,4.188e+02,2.876e+04,3.167e+04
32.9,2.585e+03,4.746e+02,2.744e+04,3.050e+04
34.4,2.410e+03,5.656e+02,2.581e+04,2.879e+04
35.9,2.129e+03,6.349e+02,2.591e+04,2.867e+04
37.4,2.655e+03,7.926e+02,2.871e+04,3.215e+04
38.9,3.939e+03,1.290e+03,3.289e+04,3.812e+04
40.4,3.663e+03,1.283e+03,3.375e+04,3.870e+04
41.9,3.737e+03,1.004e+03,3.565e+04,4.039e+04
43.4,4.503e+03,1.159e+03,4.154e+04,4.721e+04
44.9,6.215e+03,1.441e+03,4.884e+04,5.649e+04
46.4,4.270e+03,1.417e+03,3.749e+04,4.317e+04
47.9,1.707e+03,1.131e+03,1.800e+04,2.084e+04
49.4,1.571e+03,1.432e+03,1.654e+04,1.954e+04
50.9,1.316e+03,1.646e+03,2.416e+04,2.713e+04
52.3,1.203e+03,1.784e+03,3.270e+04,3.568e+04
53.8,1.055e+03,1.711e+03,2.880e+04,3.156e+04
55.3,1.027e+03,2.024e+03,2.681e+04,2.986e+04
56.8,1.008e+03,2.283e+03,2.491e+04,2.820e+04
58.3,9.369e+02,2.063e+03,2.124e+04,2.424e+04
59.8,9.964e+02,2.161e+03,2.175e+04,2.490e+04
61.3,1.097e+03,2.381e+03,2.378e+04,2.725e+04
62.8,1.096e+03,2.541e+03,2.581e+04,2.945e+04
64.3,1.011e+03,2.831e+03,2.688e+04,3.072e+04
65.8,9.987e+02,3.046e+03,2.798e+04,3.203e+04
67.3,1.098e+03,3.297e+03,2.744e+04,3.184e+04
68.8,1.312e+03,3.446e+03,2.693e+04,3.169e+04
70.3,1.683e+03,3.480e+03,2.686e+04,3.202e+04
71.8,2.303e+03,3.615e+03,2.711e+04,3.303e+04
73.3,2.649e+03,4.003e+03,2.853e+04,3.518e+04
74.8,2.537e+03,4.317e+03,2.923e+04,3.609e+04
76.3,2.881e+03,4.536e+03,2.770e+04,3.512e+04
77.8,3.014e+03,4.547e+03,2.584e+04,3.340e+04
79.3,2.374e+03,4.312e+03,2.105e+04,2.774e+04
80.8,2.255e+03,4.878e+03,1.683e+04,2.396e+04
82.3,2.796e+03,5.404e+03,1.354e+04,2.174e+04
83.8,3.621e+03,6.127e+03,1.211e+04,2.186e+04
85.3,5.010e+03,7.663e+03,1.186e+04,2.454e+04
86.7,6.427e+03,9.785e+03,1.146e+04,2.767e+04
88.2,7.823e+03,1.238e+04,1.159e+04,3.180e+04
89.7,1.019e+04,1.423e+04,1.216e+04,3.659e+04
91.2,1.250e+04,1.363e+04,1.344e+04,3.958e+04
92.7,1.206e+04,9.902e+03,1.439e+04,3.635e+04
94.2,1.235e+04,8.081e+03,1.460e+04,3.503e+04
95.7,1.174e+04,7.168e+03,1.506e+04,3.397e+04
97.2,1.081e+04,6.744e+03,1.682e+04,3.438e+04
98.7,9.340e+03,6.412e+03,1.878e+04,3.453e+04
100.2,8.743e+03,7.126e+03,1.939e+04,3.526e+04
101.7,1.078e+04,9.141e+03,1.951e+04,3.943e+04
103.2,1.365e+04,1.336e+04,1.846e+04,4.546e+04
104.7,1.385e+04,1.818e+04,1.338e+04,4.540e+04
106.2,1.508e+04,2.588e+04,9.919e+03,5.088e+04
107.7,1.750e+04,3.332e+04,1.132e+04,6.215e+04
109.2,1.716e+04,3.324e+04,1.687e+04,6.727e+04
110.7,1.495e+04,2.846e+04,2.205e+04,6.547e+04
112.2,1.342e+04,2.423e+04,2.671e+04,6.436e+04
113.7,1.359e+04,2.160e+04,3.386e+04,6.905e+04
115.2,1.367e+04,1.909e+04,4.176e+04,7.451e+04
116.7,1.274e+04,1.626e+04,5.056e+04,7.956e+04
118.2,1.073e+04,1.246e+04,5.804e+04,8.123e+04
119.7,9.649e+03,9.535e+03,6.472e+04,8.390e+04
121.1,9.051e+03,7.657e+03,7.117e+04,8.788e+04
122.6,8.657e+03,5.836e+03,7.716e+04,9.165e+04
124.1,8.254e+03,4.478e+03,8.054e+04,9.327e+04
125.6,7.824e+03,3.663e+03,8.435e+04,9.584e+04
127.1,7.817e+03,3.221e+03,8.615e+04,9.719e+04
128.6,7.623e+03,3.230e+03,8.535e+04,9.620e+04
130.1,7.199e+03,3.626e+03,8.251e+04,9.333e+04
131.6,6.389e+03,3.773e+03,7.306e+04,8.322e+04
